x,y
131,166
192,39
171,1
157,173
159,162
186,64
176,103
179,178
134,193
196,91
2,70
1,190
106,4
189,118
66,81
163,116
117,98
124,115
72,57
108,66
135,102
32,145
168,54
165,124
127,156
48,7
22,35
194,183
112,17
118,157
152,136
148,117
176,127
75,14
97,10
32,57
3,92
21,173
70,177
123,39
12,154
13,61
128,6
173,50
47,179
100,197
5,6
70,5
114,23
131,170
194,117
55,141
85,59
2,15
87,149
149,55
34,158
56,140
112,93
68,2
110,107
124,118
71,4
109,65
66,28
58,104
77,113
162,92
53,178
20,76
8,134
169,40
144,141
149,90
101,105
36,86
113,18
98,112
69,179
21,74
173,31
142,190
41,165
129,35
98,92
111,145
66,32
4,139
103,23
8,182
2,118
8,47
130,2
112,143
121,85
100,70
89,165
96,72
129,61
121,178
143,127
100,2
48,64
145,142
99,91
3,123
35,87
9,55
48,154
89,2
82,63
3,70
113,155
6,80
96,80
33,128
19,48
181,177
44,165
9,56
111,129
126,119
44,180
113,195
113,120
61,141
111,196
138,135
23,146
82,65
58,20
109,3
6,196
72,55
44,166
183,2
124,155
32,85
190,44
186,3
71,105
194,100
146,145
74,38
114,95
143,192
188,187
114,40
74,63
101,184
103,154
1,118
5,1
147,154
178,95
127,34
81,29
3,39
164,117
175,103
194,193
179,28
76,16
121,84
42,57
87,57
185,4
19,73
107,130
6,197
150,126
54,147
76,95
187,64
35,106
53,92
71,104
198,115
5,159
62,140
56,73
24,167
43,2
25,144
65,31
122,88
36,104
158,137
59,22
111,139
163,13
29,88
113,94
193,2
112,194
78,1
120,23
65,148
137,136
194,43
24,146
3,102
2,16
1,175
1,88
98,103
114,145
137,122
3,41
181,103
150,1
62,190
188,63
50,152
11,3
67,91
99,11
141,97
141,98
195,197
19,118
191,155
47,180
124,80
194,94
53,139
191,86
135,104
137,137
81,62
41,80
146,152
46,1
42,167
52,178
135,136
72,196
76,166
36,166
139,147
75,142
27,157
175,28
137,14
125,149
124,39
5,93
55,76
148,91
141,162
52,137
172,35
158,45
168,60
108,65
172,33
160,1
177,30
131,2
112,2
107,77
148,154
43,163
138,148
36,64
37,105
87,72
25,157
165,19
164,176
189,46
132,99
35,191
81,4
66,157
51,62
108,34
36,142
67,93
116,156
75,15
93,172
172,173
43,165
111,131
174,173
194,182
84,180
118,72
160,46
47,68
134,103
1,182
113,106
170,7
187,3
68,148
3,142
20,46
2,83
19,171
68,53
1,163
89,18
33,86
73,55
56,75
196,164
7,123
116,1
196,93
107,149
50,33
102,58
21,171
21,105
164,197
40,67
75,37
86,57
61,172
15,102
43,79
192,42
141,1
26,89
21,75
1,79
74,142
185,55
124,152
3,144
3,2
100,92
120,1
110,164
64,57
129,3
166,39
135,44
95,81
25,170
16,120
182,65
130,162
63,128
174,137
185,127
137,79
196,166
83,173
19,46
77,93
35,144
10,172
28,41
106,98
127,118
51,155
64,156
127,76
193,100
151,1
77,13
1,74
53,114
51,60
52,60
129,190
124,153
116,51
145,126
110,74
153,120
18,74
55,24
87,98
87,151
85,149
184,115
164,174
82,130
136,105
64,11
35,158
156,105
168,7
1,113
162,158
40,183
75,52
17,70
190,155
119,87
49,64
151,3
75,141
168,56
25,146
160,161
148,55
196,7
123,101
99,197
167,130
194,138
157,149
24,140
145,81
2,30
166,173
23,168
77,32
58,86
57,16
3,79
22,84
3,138
50,62
45,181
81,1
9,1
2,2
143,142
111,120
190,154
61,4
51,35
151,191
100,133
49,192
139,3
13,192
11,183
43,45
144,127
123,82
150,4
34,87
74,36
137,106
3,165
133,181
120,86
92,143
94,128
177,114
120,165
141,119
90,17
63,145
170,196
29,109
94,164
40,21
70,179
105,98
88,16
165,84
197,38
1,199
3,139
183,1
84,176
92,115
19,78
61,3
166,17
196,38
134,180
100,195
124,142
2,120
187,182
51,153
62,144
7,195
147,24
134,165
130,76
43,149
149,114
143,175
53,60
23,59
193,184
113,22
36,107
121,69
146,175
4,62
199,116
121,87
62,64
4,160
153,82
94,178
9,168
107,74
134,9
55,146
169,53
165,123
18,18
23,165
184,162
182,177
114,49
110,176
157,6
52,196
1,154
57,105
195,2
111,143
148,25
120,157
14,119
12,42
2,182
14,28
193,155
3,158
172,95
66,33
10,9
55,138
29,6
167,56
147,155
111,1
143,13
42,55
162,122
51,61
99,101
36,1
82,128
21,163
164,48
92,129
189,87
156,6
60,182
15,1
23,190
86,55
152,191
142,129
37,86
3,164
46,38
146,114
46,69
71,197
63,74
173,30
53,137
97,172
38,191
110,52
170,164
184,79
72,56
135,26
72,174
130,183
61,14
99,141
88,164
19,82
29,131
94,50
90,91
24,165
63,169
157,7
49,50
95,120
51,194
75,94
179,9
191,85
33,87
127,63
155,45
1,100
179,10
58,59
151,154
159,44
54,131
31,12
141,96
95,83
83,175
167,19
188,1
54,60
67,30
154,83
151,113
101,70
127,58
113,115
99,110
147,127
38,135
181,163
135,42
116,116
195,100
55,128
25,192
128,93
71,3
13,102
172,2
71,103
128,193
58,99
130,61
4,63
22,46
173,39
175,29
1,71
195,154
58,3
5,39
91,5
31,13
159,92
4,40
134,150
54,132
12,87
109,12
121,86
74,115
164,118
25,5
87,22
102,157
85,83
63,94
48,99
170,31
161,65
170,6
145,35
165,132
128,78
32,118
162,90
183,171
119,75
179,1
82,138
34,167
194,44
194,162
193,194
108,106
96,86
12,49
93,148
83,153
103,24
142,128
34,88
99,105
149,34
1,53
190,20
66,123
124,154
153,192
152,15
47,64
23,149
89,1
87,1
170,9
188,3
26,94
123,174
43,8
164,125
88,19
82,62
165,121
74,66
64,85
1,21
129,196
193,44
21,44
36,88
83,60
91,145
159,63
102,175
4,123
55,126
194,184
175,96
171,34
132,180
1,22
11,28
188,71
147,57
21,56
52,148
73,66
46,36
21,82
106,130
179,170
50,177
135,67
155,119
19,106
171,102
22,30
137,162
158,81
86,183
3,152
165,120
64,56
153,64
41,149
125,81
183,92
11,86
2,180
2,41
23,97
14,69
133,67
15,13
190,45
87,71
166,35
98,134
16,143
8,114
75,35
4,93
65,12
105,50
152,64
44,22
62,79
154,97
78,32
99,12
124,150
33,148
37,67
187,62
156,190
48,155
3,18
32,53
59,172
13,87
120,8
167,5
196,6
99,92
130,95
126,155
105,164
17,21
89,72
160,91
34,10
135,157
8,66
20,152
171,103
193,45
175,30
12,3
59,174
127,187
183,135
65,33
179,36
2,138
54,76
36,37
194,92
34,98
6,151
129,4
116,59
105,99
193,101
10,175
144,54
51,34
38,183
192,134
6,5
81,187
105,4
136,145
31,4
49,101
25,82
18,92
185,35
10,130
195,195
94,48
102,70
128,34
194,102
41,55
52,197
16,131
61,57
81,25
120,9
84,61
42,24
186,124
126,130
112,140
181,179
46,4
150,36
72,134
111,18
122,178
142,191
151,129
2,63
182,74
190,184
113,143
183,112
156,5
1,2
137,148
181,42
167,129
70,163
19,36
93,38
162,42
22,20
17,120
3,197
142,97
43,24
38,46
143,83
1,142
88,187
112,20
144,36
27,176
20,18
91,128
186,24
92,15
119,3
166,91
127,155
1,134
128,17
18,47
22,127
149,2
21,128
13,156
157,18
133,182
98,138
33,199
78,5
146,154
30,50
198,9
94,1
42,166
20,10
97,184
192,152
94,70
53,128
161,41
2,79
83,172
134,8
124,130
151,35
199,8
6,150
93,175
96,104
33,156
173,102
58,18
8,74
135,135
3,82
115,157
164,115
165,117
181,74
196,101
130,160
3,42
70,15
35,11
109,76
160,41
146,108
70,81
4,122
19,123
192,1
2,9
136,173
23,84
50,34
152,173
1,144
2,36
111,164
55,60
26,70
136,114
117,157
22,172
54,177
32,86
70,103
70,106
169,148
58,19
98,122
165,80
103,7
194,93
173,40
37,181
156,150
125,174
66,2
124,120
177,29
59,21
114,174
69,16
1,110
141,191
98,111
72,2
178,29
162,161
161,196
108,104
22,129
147,33
25,95
111,130
111,77
25,190
9,174
93,35
154,169
5,123
146,33
195,9
7,136
133,50
182,42
86,181
168,119
15,138
156,83
60,99
166,79
2,143
41,24
2,97
157,8
79,2
2,44
135,149
73,142
103,184
179,44
92,60
148,14
108,199
73,65
103,182
179,195
21,169
44,119
148,33
98,11
121,179
142,127
22,39
163,123
72,86
35,24
77,95
186,144
100,173
84,36
53,147
123,140
106,51
195,101
152,3
2,46
12,51
73,140
189,89
59,183
54,167
68,165
110,76
52,106
35,58
141,14
146,60
51,178
41,148
111,2
151,34
67,31
81,174
157,179
113,23
158,64
166,182
43,33
118,158
132,67
100,33
139,184
57,22
54,77
18,107
134,166
72,133
59,117
113,17
24,70
4,39
133,10
12,29
63,181
39,63
150,190
159,173
88,91
62,71
188,19
122,80
74,50
81,27
130,172
139,162
53,103
76,93
26,65
4,121
87,51
175,48
187,12
67,130
27,156
40,1
114,19
54,135
29,15
76,145
134,1
182,134
53,176
124,101
44,54
91,129
2,189
194,197
67,122
41,146
24,150
56,157
80,190
54,148
20,182
111,122
184,113
55,5
82,61
20,73
193,54
20,23
156,33
47,193
148,126
102,173
185,29
47,178
56,107
26,15
44,79
56,137
197,37
56,163
173,145
99,104
62,156
78,195
32,198
196,90
77,37
187,144
184,135
113,119
112,156
24,153
78,3
97,62
162,91
171,40
41,101
60,155
71,122
67,54
46,3
63,142
164,54
129,117
183,100
117,99
2,196
98,131
126,62
128,7
141,140
173,118
95,22
162,86
53,167
73,141
3,40
108,74
123,77
73,156
43,23
127,79
67,156
142,96
128,166
5,81
171,79
154,171
140,127
70,165
125,155
164,91
158,190
129,33
123,37
75,50
43,78
132,49
123,79
88,2
145,105
41,70
86,164
79,4
59,182
97,111
33,145
12,1
169,55
130,46
170,151
91,4
1,13
124,119
57,146
22,37
55,74
55,140
59,89
171,187
3,95
158,179
197,148
157,82
142,95
98,91
47,192
102,163
182,112
146,100
149,162
8,160
2,139
98,90
12,14
23,164
119,85
66,156
184,188
49,18
76,14
108,130
170,1
134,92
35,142
180,113
156,182
25,86
168,130
4,124
155,100
23,136
44,149
167,131
94,4
131,67
136,15
25,147
28,65
154,120
43,117
51,76
31,72
97,120
162,25
14,157
11,44
101,41
100,12
15,177
134,181
146,141
148,23
113,40
4,27
148,22
83,174
140,186
169,163
152,85
130,96
152,135
187,142
118,99
19,93
174,100
83,25
75,64
130,170
193,76
143,5
34,159
156,46
53,25
91,133
3,60
24,181
101,121
183,102
137,146
123,111
163,148
140,177
112,131
121,7
133,19
126,115
6,2
85,14
127,18
121,68
145,92
133,193
133,100
101,195
65,53
137,159
31,17
49,88
59,3
125,119
76,119
197,72
116,85
191,77
41,79
88,162
42,148
108,78
177,186
44,98
24,82
38,125
162,77
19,152
24,164
34,65
197,139
181,111
100,93
36,106
44,40
196,193
39,4
181,168
185,125
17,11
10,74
30,1
196,28
96,48
35,168
182,2
172,142
102,154
109,74
72,92
125,172
41,53
52,65
138,2
10,12
22,72
196,9
42,9
16,70
110,105
148,144
154,121
166,116
23,36
79,87
81,117
63,144
104,71
174,162
39,19
2,67
49,174
20,174
135,193
122,67
181,197
65,144
163,175
191,19
149,146
2,69
182,103
21,76
182,71
198,142
36,189
129,6
131,167
71,134
142,133
108,4
56,135
136,47
187,21
82,125
181,178
24,68
132,20
97,60
60,190
46,140
126,23
20,74
132,7
31,131
125,198
75,118
44,5
151,158
81,112
146,25
53,24
154,72
100,131
87,49
124,46
98,77
89,135
103,48
5,151
180,103
44,158
88,144
67,29
175,67
176,61
176,96
183,134
29,56
86,56
174,24
121,22
169,42
54,127
114,38
183,173
164,120
92,26
64,39
97,143
182,160
170,193
106,124
47,113
31,47
194,91
74,74
36,30
48,62
10,66
127,92
152,137
182,113
50,173
142,118
76,155
103,164
168,55
2,157
109,4
164,155
107,75
74,116
143,177
45,107
169,167
93,4
172,5
131,49
149,154
80,187
169,129
48,178
161,89
124,139
22,104
112,162
172,104
136,106
39,51
116,61
61,1
137,3
74,121
115,154
105,107
197,30
109,114
179,43
2,149
41,119
40,137
91,107
145,82
69,142
36,108
172,144
175,115
19,47
69,56
91,32
66,27
156,151
2,101
51,133
173,165
10,47
168,33
26,108
184,24
191,2
63,32
5,150
69,106
98,19
178,130
18,129
3,136
80,191
12,149
51,59
71,130
155,73
178,28
183,29
185,174
36,143
84,193
35,167
108,178
123,141
24,152
97,73
104,99
130,107
8,42
161,90
50,97
1,52
116,164
40,18
37,109
169,101
100,68
40,185
131,169
124,141
143,3
141,177
157,32
113,144
53,136
53,180
95,85
195,116
18,196
11,173
7,6
38,1
118,86
17,69
28,38
5,124
19,77
100,23
138,121
143,49
111,31
61,181
103,90
89,159
112,132
156,121
112,91
61,58
106,2
40,182
38,141
65,94
54,140
73,131
170,75
154,48
37,45
110,34
74,14
123,95
5,41
163,183
156,172
34,2
74,147
183,125
9,19
150,128
172,168
27,122
11,4
146,116
5,102
163,180
102,196
96,173
194,136
168,37
133,166
1,181
7,3
159,189
124,129
8,109
169,41
98,104
170,154
72,79
159,55
55,122
94,117
54,74
105,67
15,132
165,154
86,162
83,123
175,159
190,18
15,70
126,103
85,121
51,36
166,104
102,153
149,127
180,69
144,129
54,178
7,135
84,48
109,63
31,138
17,73
177,153
94,192
9,187
184,174
147,13
133,16
55,78
159,67
136,149
87,168
49,62
137,149
160,181
2,80
24,169
76,167
198,73
46,106
89,147
194,24
149,116
179,112
181,112
63,159
155,124
43,35
129,156
124,179
54,46
170,97
76,116
134,164
166,151
77,36
191,41
178,117
162,191
10,86
136,163
47,126
132,196
168,110
159,146
42,118
64,13
165,9
74,15
155,32
59,112
22,83
122,45
9,67
175,172
92,30
110,66
97,133
37,141
78,30
50,53
47,137
167,38
69,94
126,41
55,147
42,168
184,63
47,69
191,84
91,28
149,66
139,76
166,19
186,28
189,18
139,65
77,4
190,115
75,95
101,61
108,32
14,194
195,35
53,138
10,88
20,29
79,33
181,170
75,51
77,117
186,66
135,16
160,27
155,120
32,78
74,114
56,76
55,144
168,57
113,44
36,153
80,30
11,112
5,95
167,61
181,79
16,10
165,152
72,52
7,36
14,62
113,174
155,176
147,126
75,49
1,77
49,191
100,156
26,195
23,139
83,68
90,132
182,194
14,100
64,77
179,151
133,196
182,196
13,152
126,144
85,55
172,164
64,12
132,51
148,172
47,48
48,100
101,155
60,125
73,56
5,154
142,174
198,192
122,175
117,115
27,107
167,29
9,26
184,142
91,118
83,155
101,153
108,13
136,136
7,151
118,49
157,147
195,152
103,22
65,196
120,35
61,111
128,36
149,124
32,147
38,57
35,47
104,24
159,54
25,6
20,140
181,173
93,32
47,80
131,77
112,130
57,21
101,174
2,81
97,123
3,54
145,15
116,95
18,100
20,6
20,45
56,103
103,107
68,16
1,33
76,100
120,156
6,162
72,195
108,64
2,89
94,130
16,162
92,82
7,182
195,156
181,81
58,10
97,132
193,156
50,101
174,117
9,108
120,90
142,119
154,81
181,1
17,128
22,154
141,22
104,144
72,114
56,79
55,130
170,5
83,177
169,5
156,81
15,103
119,165
195,182
129,168
78,14
179,42
140,188
58,87
172,39
75,188
85,54
8,181
123,147
35,85
84,154
34,145
53,53
125,114
147,116
119,157
108,108
36,90
137,15
141,189
145,36
134,101
93,143
136,92
61,146
36,21
17,15
2,73
145,196
94,151
131,4
110,9
67,52
134,90
180,28
185,40
94,52
36,163
87,163
19,58
91,117
160,114
168,18
173,106
50,60
14,154
134,137
195,45
10,187
92,48
22,151
15,173
175,177
67,28
114,103
181,116
15,144
93,114
20,195
22,165
67,60
60,181
68,176
34,103
160,162
48,5
144,175
63,44
126,36
140,51
79,190
146,90
196,115
157,72
183,3
111,65
38,190
129,90
153,71
131,21
46,179
85,183
96,175
41,10
50,99
26,135
162,14
34,165
168,40
22,173
163,188
11,12
143,139
197,17
112,107
184,95
160,113
182,136
122,112
112,30
96,184
109,125
168,193
150,33
2,183
162,133
110,130
130,126
165,122
50,151
103,151
93,51
136,57
188,93
41,51
16,137
64,158
108,92
72,170
124,105
164,11
197,117
41,26
128,75
147,51
67,155
123,100
142,50
180,101
102,68
98,182
107,35
12,86
13,38
64,121
143,97
58,174
63,175
138,76
66,55
103,47
137,2
150,15
31,2
161,26
31,14
92,146
194,53
10,2
196,140
45,99
196,150
42,164
105,20
74,35
68,24
67,33
81,192
178,113
44,116
48,102
70,135
104,183
123,194
116,29
147,165
172,102
182,174
94,2
183,137
42,56
149,126
85,18
10,109
23,150
167,109
196,165
138,160
2,103
124,40
157,65
118,70
174,78
136,158
33,85
157,136
83,59
108,102
83,61
1,192
8,113
102,55
139,36
37,124
122,19
143,113
101,131
70,105
56,141
82,111
75,53
181,44
112,58
156,174
110,144
70,184
133,137
115,30
54,139
108,2
113,196
145,63
163,112
184,151
167,107
73,116
22,125
114,118
119,67
115,148
130,168
94,123
28,157
60,8
61,191
96,140
45,97
60,2
50,190
71,68
58,75
75,146
68,27
185,137
72,46
89,4
151,136
24,128
73,154
56,24
88,56
199,114
171,52
7,55
194,39
136,159
10,122
192,102
89,12
119,164
172,162
18,111
50,31
129,158
158,174
129,77
1,41
175,150
57,23
11,26
89,99
148,56
184,91
127,111
184,109
87,4
50,175
97,163
186,140
106,131
97,174
168,144
62,10
100,14
156,66
148,37
112,133
154,82
166,127
60,129
2,87
11,142
174,187
172,68
5,161
45,142
136,147
146,59
134,117
19,35
40,140
49,190
17,16
117,113
156,154
78,20
130,23
156,175
46,100
114,22
175,112
51,147
111,119
79,76
66,38
55,139
118,76
78,74
22,58
13,53
58,149
126,128
195,30
99,184
45,166
189,88
53,131
39,29
24,166
96,84
39,140
81,26
136,90
193,111
3,173
79,192
192,85
193,41
12,60
50,194
46,24
23,70
117,183
119,70
10,171
29,95
135,105
62,75
3,157
78,75
74,140
40,79
30,91
68,133
21,174
113,21
42,147
190,77
74,130
187,143
22,33
46,18
42,1
162,34
114,101
194,51
74,64
106,121
181,75
74,107
39,154
140,146
137,160
82,153
111,17
32,31
32,46
137,108
196,37
27,24
93,129
133,135
164,116
107,76
167,120
24,113
25,12
88,18
147,174
21,47
98,142
17,31
51,94
127,138
62,174
13,28
79,23
1,35
149,3
175,19
194,46
63,1
191,17
180,83
37,84
48,79
49,37
77,69
141,128
147,72
15,100
38,88
150,127
74,34
167,78
120,155
33,77
86,5
2,38
161,153
72,88
135,139
59,5
71,16
84,150
61,74
36,133
72,68
23,130
12,194
15,44
115,42
50,193
106,55
129,188
196,31
130,137
8,34
158,7
59,32
40,88
99,195
167,58
30,179
136,146
34,155
28,92
190,62
143,121
120,5
170,41
103,70
28,118
29,93
66,196
113,24
155,5
178,2
104,104
128,35
184,30
42,5
112,19
71,67
179,133
42,69
186,86
181,35
161,114
183,195
59,141
68,134
106,108
53,165
7,4
149,113
29,176
198,58
123,31
24,6
155,177
103,3
23,124
15,143
182,119
197,171
164,10
139,161
22,115
7,121
61,195
195,165
8,122
77,38
36,105
88,197
138,21
157,30
66,89
137,174
9,190
30,86
49,61
121,2
193,40
37,92
42,23
27,102
166,167
51,80
119,143
4,149
129,192
145,13
30,27
82,109
51,91
169,8
187,57
90,110
78,151
93,49
126,60
176,22
20,85
96,134
98,195
24,33
110,3
195,169
135,162
93,164
186,177
194,160
95,143
80,111
150,114
15,99
40,81
38,138
176,128
142,13
34,157
11,140
13,21
27,95
3,161
85,70
99,90
138,23
199,59
163,20
20,170
93,7
75,32
191,40
78,2
115,61
97,116
186,41
25,90
144,162
22,167
84,181
22,117
159,114
17,173
44,118
97,118
79,25
30,53
157,189
118,51
44,112
174,156
122,3
119,73
148,155
34,69
23,186
147,88
73,127
3,134
39,148
37,192
52,195
65,157
157,177
59,43
43,188
68,5
138,102
63,54
194,181
49,153
30,116
16,101
114,144
117,86
7,189
196,196
145,151
66,155
40,100
197,59
141,192
99,131
71,17
65,115
2,88
119,99
144,43
29,197
50,195
175,49
164,185
77,94
28,42
156,135
33,167
189,86
34,147
72,115
137,118
166,171
171,196
144,195
134,68
129,125
138,147
145,33
101,22
164,151
106,99
45,2
96,74
158,189
123,153
44,169
23,18
168,6
135,166
117,102
116,47
23,147
178,50
73,49
74,65
135,120
109,44
163,47
131,194
155,147
127,45
65,100
55,174
124,102
32,69
143,152
176,29
140,191
53,179
186,79
59,158
48,197
22,45
159,90
43,173
189,96
87,41
137,16
9,22
120,12
188,173
183,149
42,96
83,147
165,175
89,158
152,83
51,33
2,82
97,91
131,161
184,5
51,129
168,41
59,122
197,143
160,25
122,5
52,136
162,145
13,62
139,67
150,14
30,38
93,194
109,164
134,64
95,105
126,93
20,164
120,180
197,91
28,102
14,4
46,131
128,72
180,95
155,118
146,124
150,116
82,177
103,143
143,52
62,159
68,15
48,49
75,196
82,189
157,71
181,70
126,143
60,113
44,57
96,77
70,182
165,63
146,164
113,131
117,71
61,190
128,157
185,94
162,177
95,51
93,36
118,50
158,63
152,4
6,194
127,131
110,4
97,124
116,151
81,64
139,44
36,157
157,151
188,17
66,13
62,87
78,171
37,4
80,175
37,179
94,37
34,67
174,116
129,155
16,146
51,186
28,11
27,92
71,131
157,3
3,140
23,45
3,125
116,10
103,197
45,15
188,18
138,19
194,158
42,67
127,158
99,165
37,91
69,17
177,185
2,191
15,31
147,167
21,84
29,42
151,135
23,143
164,153
189,65
2,53
103,25
96,130
58,21
145,89
123,130
163,28
91,6
85,92
137,176
4,133
1,173
132,97
102,104
184,126
35,7
163,91
139,146
89,16
192,155
103,172
133,98
124,17
153,63
53,130
63,9
47,101
180,156
132,66
67,27
158,44
32,136
152,89
62,121
154,181
85,143
153,117
35,166
9,95
138,77
130,68
158,57
17,167
147,150
92,116
11,63
177,128
52,35
72,58
67,26
63,124
61,100
167,75
44,114
3,199
89,141
155,136
57,89
9,185
80,90
170,198
15,168
5,189
18,122
36,10
153,134
13,140
11,150
166,16
120,144
107,34
35,165
88,84
98,102
18,137
135,89
165,59
103,181
99,41
53,106
23,171
163,22
147,105
24,170
110,195
179,68
127,96
186,134
140,35
152,97
86,121
5,18
94,171
10,11
51,112
144,61
132,5
169,103
171,61
97,89
36,192
38,75
2,159
132,25
196,134
153,180
170,62
165,28
95,121
4,2
138,105
106,75
191,135
116,155
35,56
17,110
112,105
172,37
103,50
67,4
41,76
178,196
13,195
130,9
71,58
5,122
30,5
71,80
3,195
145,127
96,100
122,54
48,38
83,70
144,2
25,136
66,58
74,163
99,17
47,115
169,159
112,37
138,125
194,4
84,21
8,87
173,77
184,170
180,194
6,121
42,100
62,34
11,172
155,64
176,115
58,155
166,125
149,68
101,92
144,128
16,102
94,142
27,94
86,23
36,92
19,125
122,173
21,71
19,126
46,147
101,130
145,90
107,20
51,167
12,157
53,140
111,103
98,30
27,119
190,177
83,32
90,144
139,14
28,76
138,84
125,103
17,175
158,70
129,58
81,45
182,44
17,130
10,196
37,90
18,10
77,120
89,184
22,170
6,40
112,49
118,139
20,89
81,9
138,188
82,1
35,104
27,69
70,16
47,130
190,128
130,152
196,59
195,78
102,164
59,156
150,87
112,196
135,91
180,34
1,166
122,69
142,189
150,13
176,132
102,4
172,166
193,126
53,61
127,154
50,35
102,23
195,178
12,122
101,58
105,5
105,72
132,34
123,68
40,102
73,52
141,187
172,115
189,166
99,93
24,22
10,89
33,144
110,106
198,117
104,155
42,8
81,87
184,125
115,92
121,88
98,183
107,59
138,45
146,151
30,112
32,177
13,67
10,14
102,82
155,142
77,33
150,192
196,57
184,175
121,9
67,39
5,61
104,80
91,59
24,72
95,61
109,116
68,79
25,154
3,17
144,176
118,188
19,165
73,14
182,111
196,79
163,198
49,33
93,115
77,125
127,153
174,93
69,5
195,49
134,34
140,97
117,158
136,126
144,95
64,159
143,176
79,5
24,142
134,156
181,162
163,162
46,91
148,125
38,64
143,35
80,27
13,155
145,60
79,31
58,169
103,5
18,54
3,80
135,50
169,59
156,70
194,95
172,186
30,76
184,148
38,77
93,5
1,108
79,13
47,181
23,3
165,11
25,69
133,45
90,176
114,155
72,155
133,195
150,31
155,98
179,65
18,48
8,96
166,46
122,139
198,132
100,90
11,186
144,110
112,121
73,194
137,161
1,171
153,160
193,132
97,11
188,108
32,14
91,24
51,114
173,167
120,37
110,115
120,110
149,172
72,84
29,90
4,89
112,26
153,81
174,115
60,111
126,105
73,146
29,144
185,33
95,7
196,30
